EntrezID,log2FC HFD,log2FC XN
Fam102a,NA,1.083710474
Nubp2,-0.540997834,NA
Orm1,0.730365327,NA
Lyplal1,NA,0.656724055
Igfbp2,-1.142030847,-1.234487685
Dusp10,0.937294652,NA
Rcan2,1.815873071,1.960771273
Usp53,-0.762768655,NA
Htatip2,0.970839074,NA
Dnajc28,-0.524524459,NA
Zfp597,-0.534870276,NA
Tbc1d2,-1.119595281,NA
Trub2,0.972886304,NA
Arhgap29,NA,-0.750744518
Slc44a3,0.760361901,NA
Slc39a5,1.135187318,2.302958977
Heca,-0.583403339,NA
Ptger4,1.19975982,NA
Dag1,-0.542503211,NA
Phtf2,-0.692699695,NA
Bmf,-1.757746011,NA
Maob,-0.628866799,NA
Thbs1,1.298454377,1.153106646
Pclaf,1.315011189,NA
Kyat3,-1.246131779,NA
Ints13,-0.472887032,NA
Trim7,0.834578124,NA
5330417C22Rik,2.737424722,1.791128041
Cdh18,1.084320486,NA
Rprd1a,-0.731519202,-0.887295527
Pvr,0.645842486,NA
C3ar1,0.861244405,NA
Gstm2,1.496486244,NA
Sh3pxd2b,1.682489739,1.401025848
Zfhx2,-1.12956684,NA
Scamp5,1.550021254,0.928995282
Tex264,0.443328081,NA
Hlcs,0.888553634,NA
Gm11992,-1.781081263,NA
Lrit1,-1.122680657,NA
Grid1,-2.355525306,-1.612968443
Arhgap11a,1.307744183,NA
Elovl6,1.082465375,NA
Pklr,1.396563535,NA
Rbbp8,0.798718407,NA
Car8,-0.990560528,-0.900360622
Adgrf1,-1.617065979,-1.558810614
Ccnb1,1.393615328,NA
Sox5,-1.256140823,NA
Bbox1,-0.363091623,NA
Tspo,0.539454767,NA
Gpr155,-0.809874214,NA
Enc1,0.719774826,0.923215686
Tram2,-1.101978493,NA
Oasl1,0.760473895,NA
Abca8a,-1.397735768,-1.076251633
Rhod,0.698681566,NA
Mcm3,1.284416565,1.062929206
S100a10,0.83010836,NA
Rapgef5,NA,1.189698617
2010003K11Rik,1.337409323,NA
Tent2,-0.392166017,NA
Sgsm1,NA,-1.115117473
Cyp2c37,-1.436407424,NA
Grk3,1.041861778,1.705409355
Nxt2,-0.779777384,NA
Ehbp1,-0.643473125,NA
Tmem183a,NA,-0.648107329
Kdm7a,-0.779580871,NA
Stk40,0.648374768,NA
Pla2g6,0.753805457,NA
Acad12,1.623388813,1.37408177
Jph1,-1.452002806,NA
Atpaf2,-0.9961656,NA
Nrep,-1.050102945,NA
Onecut1,-1.107062379,NA
Fam89a,NA,1.073373466
Synpo,0.880184901,1.41068176
Otud1,-0.636595522,-1.036764319
Lrit2,-1.114770939,NA
Rnf227,NA,1.293648043
Zbtb37,-1.398953155,-1.345958882
Gls2,-1.155144094,-0.959355569
Ccdc141,-0.858843768,NA
Foxo1,-0.393334042,NA
Phlpp1,-0.488076552,NA
Snhg11,1.968118642,NA
P2ry4,-0.943524256,NA
Slc16a13,0.925222046,NA
Tent5c,-0.842679359,-1.503309686
E130308A19Rik,-0.636120881,NA
S1pr1,-0.49383976,NA
Arhgef37,-1.501536812,-1.541244395
Nudt18,1.491065506,1.615770439
Dcaf12l1,1.017179225,NA
Rtn4rl1,0.6049377,NA
Sowahb,0.611657663,NA
Cenpe,1.538957369,NA
Epcam,1.31875807,NA
Hcar2,1.53694983,NA
Adrb2,NA,1.321653832
Lrtm1,-1.071386738,NA
Adra1a,-0.701918629,NA
Paip2b,-0.411318816,NA
C2cd4c,1.474745204,NA
Mtmr11,2.286880389,1.389848407
Onecut2,-0.667167712,NA
Stard5,-0.51569256,NA
Lrrc8d,-1.442836398,NA
Serinc4,NA,0.667700424
Plaur,1.07114115,NA
Rbp1,0.911362042,NA
Yod1,-0.704761934,NA
Cxxc5,-0.673778575,NA
Tifa,-1.227263644,NA
Cystm1,1.227124146,NA
Cldn12,-0.927813652,NA
Mpeg1,1.515573177,0.984413713
Ddit4l,1.332783716,1.403066704
Ckap4,1.018882044,NA
Atxn1,-0.977974681,NA
Pla2g4f,NA,1.839211478
Tshz1,-0.676958175,NA
Spsb4,0.995444122,NA
Spata2,0.589645722,NA
A2ml1,1.107731734,NA
Odf3b,-1.406315382,NA
Rnf152,-1.783331004,NA
Cldn4,1.154599022,NA
Nr1h4,-0.79605834,-0.888958366
Atg16l2,0.939691308,NA
Sned1,-0.831504858,NA
Tmem229a,1.250275785,NA
4632415L05Rik,-1.220427398,NA
Col6a3,0.975032844,NA
Dip2c,-0.350258914,NA
Mlec,0.555451104,NA
Mrgpre,1.984966229,1.564950722
Sephs2,-0.739711201,NA
Ccr2,1.199790236,NA
C5ar1,0.970282851,NA
Syt12,1.480325585,NA
Sorl1,1.155792837,1.220968629
Zfp2,-0.992780546,NA
Rd3,-1.354871475,NA
Krt8,0.905015155,NA
Upk1b,NA,-0.924822368
Pls1,1.895080477,1.464581735
Dtx3l,-0.670237905,NA
Tsku,1.234341878,NA
Mmp12,2.647345929,4.165266401
Tmsb4x,0.656085261,NA
